169	0 298 151
334	0 298 151
142	0 298 151
31	0 298 151
123	0 298 151
104	0 298 151
125	0 298 151
318	0 298 151
165	0 298 151
9	1 298 151
272	1 298 151
199	1 298 151
322	1 298 151
315	1 298 151
332	2 298 151
73	2 196 31
48	2 196 31
30	2 298 151
16	2 298 151
10	2 298 151
331	2 298 151
288	3 298 151
207	3 298 151
105	3 298 151
1	3 196 31
258	4 298 151
156	4 298 151
235	4 298 151
295	4 298 151
231	5 298 151
232	5 298 151
72	5 298 151
40	5 298 151
212	5 298 151
298	5 298 151
270	6 298 151
76	6 298 151
304	7 298 151
134	7 298 151
308	7 298 151
66	7 298 151
69	7 298 151
338	7 298 151
62	8 298 151
3	8 298 151
170	8 298 151
323	8 298 151
274	8 298 151
341	8 298 151
85	8 298 151
75	8 298 151
96	8 298 151
250	8 298 151
88	9 196 31
164	9 196 31
336	9 196 31
176	10 298 151
324	10 298 151
307	11 71 4
71	11 71 4
230	11 71 4
70	11 71 4
97	11 253 3
182	11 253 3
253	11 253 3
20	12 44 36
333	12 44 36
226	12 44 36
149	12 44 36
343	12 44 36
2	12 44 36
162	12 44 36
305	12 44 36
236	13 298 151
276	13 298 151
84	13 298 151
133	13 298 151
224	13 298 151
183	13 298 151
188	14 298 151
13	14 298 151
317	15 298 151
158	15 298 151
146	15 298 151
132	15 298 151
280	16 298 151
67	16 298 151
25	16 298 151
185	16 298 151
79	16 298 151
153	16 298 151
211	17 298 151
59	17 298 151
268	17 298 151
116	18 44 36
28	18 44 36
312	18 44 36
214	18 44 36
144	18 44 36
17	18 44 36
326	18 44 36
140	18 44 36
115	18 44 36
14	18 44 36
19	18 44 36
41	18 44 36
289	18 44 36
151	18 44 36
138	18 44 36
285	19 298 151
56	19 298 151
119	19 298 151
200	19 298 151
277	19 298 151
248	19 298 151
50	19 298 151
65	20 298 151
63	20 298 151
118	20 298 151
203	20 298 151
290	20 298 151
342	20 298 151
161	20 298 151
314	20 298 151
27	21 298 151
54	21 196 31
284	21 139 13
24	22 196 31
346	22 196 31
204	22 196 31
53	22 196 31
254	22 196 31
194	22 196 31
299	22 196 31
57	22 196 31
242	22 196 31
302	22 196 31
300	22 196 31
94	22 196 31
80	22 196 31
187	22 196 31
92	22 196 31
266	22 196 31
330	22 196 31
249	22 196 31
196	22 196 31
101	22 196 31
180	22 196 31
191	22 196 31
46	23 278 16
278	23 278 16
177	23 278 16
143	23 278 16
225	23 278 16
86	23 278 16
131	23 278 16
35	23 278 16
103	24 298 151
339	24 298 151
38	24 298 151
126	24 196 31
136	24 298 151
7	24 298 151
246	24 298 151
340	24 298 151
87	24 298 151
152	24 181 10
260	24 160 3
160	24 160 3
23	25 267 5
83	25 51 3
237	25 51 3
51	25 51 3
267	25 267 5
127	26 139 13
135	26 139 13
36	26 139 13
108	26 139 13
197	26 139 13
139	26 139 13
184	26 139 13
159	26 139 13
320	26 139 13
309	26 139 13
251	26 139 13
281	26 139 13
271	27 298 151
329	27 298 151
213	27 298 151
252	27 298 151
82	27 298 151
239	27 298 151
172	27 298 151
98	27 298 151
313	27 298 151
325	27 298 151
223	27 298 151
128	27 298 151
238	27 298 151
265	27 298 151
261	27 298 151
113	27 298 151
106	27 298 151
29	27 298 151
148	27 298 151
283	28 298 151
228	28 298 151
130	29 196 31
344	29 298 151
311	29 298 151
39	29 298 151
257	29 298 151
286	30 81 3
81	30 81 3
174	31 112 3
293	31 112 3
112	31 112 3
33	32 42 2
42	32 42 2
263	33 278 16
99	33 278 16
296	33 278 16
102	33 278 16
227	33 278 16
68	33 278 16
186	34 298 151
122	34 298 151
141	34 298 151
55	34 298 151
234	34 298 151
301	35 301 2
47	35 301 2
5	36 298 151
316	36 298 151
192	37 52 3
205	37 52 3
52	37 52 3
168	38 298 151
347	38 298 151
129	38 298 151
22	38 298 151
163	39 189 7
173	39 166 5
166	39 166 5
202	39 166 5
198	39 166 5
34	39 166 5
291	40 298 151
60	40 298 151
208	40 298 151
275	41 181 10
273	41 181 10
78	41 181 10
218	41 181 10
195	41 181 10
181	41 181 10
328	41 181 10
306	41 181 10
4	41 181 10
64	42 189 7
217	42 189 7
171	42 189 7
150	42 189 7
189	42 189 7
58	42 107 2
269	42 81 3
107	42 107 2
100	42 189 7
190	43 267 5
229	43 298 151
175	44 278 16
321	44 278 16
345	45 298 151
303	45 298 151
178	45 298 151
45	45 298 151
221	45 298 151
137	46 44 36
310	46 44 36
32	46 44 36
243	46 44 36
167	46 44 36
93	46 44 36
337	46 44 36
216	46 44 36
8	47 110 8
245	47 110 8
259	47 110 8
91	47 110 8
110	47 110 8
264	47 110 8
201	47 110 8
26	48 298 151
21	48 298 151
109	48 298 151
297	48 298 151
262	49 44 36
220	49 44 36
111	50 44 36
279	50 44 36
44	50 44 36
61	51 267 5
193	51 110 8
90	52 179 3
179	52 179 3
145	52 179 3
6	53 6 8
89	53 6 8
327	53 6 8
95	53 6 8
319	53 6 8
147	53 6 8
219	53 6 8
154	53 6 8
120	54 247 2
247	54 247 2
282	55 282 2
244	55 282 2
233	56 233 2
256	56 233 2
124	57 157 3
157	57 157 3
155	57 157 3
121	58 298 151
206	58 160 3
222	59 298 151
240	59 267 5
255	60 255 3
49	60 255 3
241	60 255 3
117	61 298 151
77	61 298 151
294	61 298 151
